USERID,STARTDATE,ENDATE,SEQNUMBER,PAYCOMPONENT,PAYCOMPVALUE,CURRENCY_CODE,FREQUENCY,IS_TARGET,NOTES,OPERATION,
30000365            ,03/08/2017,,,9001,2500.0000,PEN,MON,,,,
30000366            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000367            ,03/08/2017,,,9001,1350.0000,PEN,MON,,,,
30000368            ,03/08/2017,,,9001,510.0000,PEN,MON,,,,
30000369            ,03/08/2017,,,9001,510.0000,PEN,MON,,,,
30000370            ,03/08/2017,,,9001,510.0000,PEN,MON,,,,
30000371            ,03/08/2017,,,9001,1075.0000,PEN,MON,,,,
30000372            ,03/08/2017,,,9001,1200.0000,PEN,MON,,,,
30000373            ,03/08/2017,,,9001,1200.0000,PEN,MON,,,,
30000374            ,03/08/2017,,,9001,1200.0000,PEN,MON,,,,
30000375            ,03/08/2017,,,9001,1200.0000,PEN,MON,,,,
30000376            ,03/08/2017,,,9001,1200.0000,PEN,MON,,,,
30000377            ,03/08/2017,,,9001,1200.0000,PEN,MON,,,,
30000378            ,03/08/2017,,,9001,1200.0000,PEN,MON,,,,
30000379            ,03/08/2017,,,9001,2000.0000,PEN,MON,,,,
30000380            ,03/08/2017,,,9001,510.0000,PEN,MON,,,,
30000381            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000382            ,03/08/2017,,,9001,945.0000,PEN,MON,,,,
30000383            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000384            ,03/08/2017,,,9001,510.0000,PEN,MON,,,,
30000385            ,03/08/2017,,,9001,510.0000,PEN,MON,,,,
30000386            ,03/08/2017,,,9001,510.0000,PEN,MON,,,,
30000387            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000388            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000391            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000392            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000393            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000395            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000397            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000398            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000399            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000400            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000401            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000402            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000403            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000404            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000406            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000407            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000408            ,03/08/2017,,,9001,2500.0000,PEN,MON,,,,
30000409            ,03/08/2017,,,9001,1325.0000,PEN,MON,,,,
30000410            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000411            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000412            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
